model,features,n_feats,f1_macro,accuracy
logistic_regression,tfidf_cos + jaccard_sim + ner_jaccard + ner_jaccard_org + semantic_sim,5,0.49849624060150377,0.5789473684210527
random_forest,dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,4,0.49583333333333335,0.5789473684210527
random_forest,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_org,4,0.49583333333333335,0.5789473684210527
random_forest,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,5,0.49583333333333335,0.5789473684210527
random_forest,dice_sim + ner_jaccard + ner_jaccard_person + semantic_sim,4,0.49583333333333335,0.5789473684210527
random_forest,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_org + semantic_sim,5,0.49583333333333335,0.5789473684210527
naive_bayes,tfidf_cos + dice_sim + ner_jaccard_org + semantic_sim,4,0.4944444444444444,0.631578947368421
svm,dice_sim,1,0.4944444444444444,0.631578947368421
svm,dice_sim + ner_jaccard + semantic_sim,3,0.49338235294117644,0.5789473684210527
svm,jaccard_sim + dice_sim + ner_jaccard + semantic_sim,4,0.49338235294117644,0.5789473684210527
gradient_boosting,ner_jaccard + ner_jaccard_org + semantic_sim,3,0.4928571428571429,0.5263157894736842
gradient_boosting,jaccard_sim + ner_jaccard + ner_jaccard_person + semantic_sim,4,0.4928571428571429,0.5263157894736842
logistic_regression,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_org,5,0.49254385964912284,0.5789473684210527
logistic_regression,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_org + semantic_sim,5,0.49254385964912284,0.5789473684210527
logistic_regression,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_org + semantic_sim,6,0.49254385964912284,0.5789473684210527
logistic_regression,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_org,4,0.49254385964912284,0.5789473684210527
random_forest,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,5,0.49236111111111114,0.5789473684210527
gradient_boosting,tfidf_cos + ner_jaccard_org,2,0.49236111111111114,0.5789473684210527
random_forest,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_org + semantic_sim,5,0.49236111111111114,0.5789473684210527
random_forest,jaccard_sim + dice_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.49226190476190473,0.5789473684210527
gradient_boosting,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person,5,0.49226190476190473,0.5789473684210527
naive_bayes,tfidf_cos + dice_sim + ner_jaccard,3,0.49226190476190473,0.5789473684210527
naive_bayes,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard,4,0.49226190476190473,0.5789473684210527
naive_bayes,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_org,4,0.49226190476190473,0.5789473684210527
naive_bayes,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_org,5,0.49226190476190473,0.5789473684210527
random_forest,jaccard_sim + dice_sim + ner_jaccard_org + semantic_sim,4,0.49226190476190473,0.5789473684210527
naive_bayes,jaccard_sim + ner_jaccard + ner_jaccard_org,3,0.4920634920634921,0.5789473684210527
gradient_boosting,jaccard_sim + dice_sim + ner_jaccard_person,3,0.4909090909090909,0.5789473684210527
svm,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_org + semantic_sim,5,0.4908730158730159,0.5789473684210527
gradient_boosting,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_person + ner_jaccard_org,5,0.49027777777777776,0.5789473684210527
random_forest,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_person,4,0.49027777777777776,0.5789473684210527
gradient_boosting,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person,4,0.49027777777777776,0.5789473684210527
random_forest,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_org,4,0.49027777777777776,0.5789473684210527
gradient_boosting,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_org,4,0.49027777777777776,0.5789473684210527
